lam,subpop_cos,scorer,hit@1
0.5,0.979,coverage_worst,0.0
0.5,0.979,mean_cosine,0.0
0.5,0.979,global_energy,0.0
0.5,0.979,coverage_mean,1.0
0.5,0.979,coverage_worst,1.0
0.5,0.979,mean_cosine,0.0
0.5,0.979,global_energy,0.0
0.5,0.979,coverage_mean,0.0
0.5,0.979,coverage_worst,1.0
0.5,0.979,mean_cosine,0.0
0.5,0.979,global_energy,0.0
0.5,0.979,coverage_mean,0.0
0.5,0.979,coverage_worst,1.0
0.5,0.979,mean_cosine,0.0
0.5,0.979,global_energy,0.0
0.5,0.979,coverage_mean,0.0
0.5,0.979,coverage_worst,0.0
0.5,0.979,mean_cosine,0.0
0.5,0.979,global_energy,1.0
0.5,0.979,coverage_mean,0.0
0.5,0.979,coverage_worst,0.0
0.5,0.979,mean_cosine,0.0
0.5,0.979,global_energy,0.0
0.5,0.979,coverage_mean,0.0
0.5,0.979,coverage_worst,1.0
0.5,0.979,mean_cosine,0.0
0.5,0.979,global_energy,0.0
0.5,0.979,coverage_mean,1.0
0.5,0.979,coverage_worst,1.0
0.5,0.979,mean_cosine,0.0
0.5,0.979,global_energy,0.0
0.5,0.979,coverage_mean,1.0
0.5,0.979,coverage_worst,1.0
0.5,0.979,mean_cosine,0.0
0.5,0.979,global_energy,0.0
0.5,0.979,coverage_mean,0.0
0.5,0.979,coverage_worst,0.0
0.5,0.979,mean_cosine,0.0
0.5,0.979,global_energy,0.0
0.5,0.979,coverage_mean,0.0
0.5,0.979,coverage_worst,0.0
0.5,0.979,mean_cosine,0.0
0.5,0.979,global_energy,0.0
0.5,0.979,coverage_mean,0.0
0.5,0.979,coverage_worst,0.0
0.5,0.979,mean_cosine,0.0
0.5,0.979,global_energy,0.0
0.5,0.979,coverage_mean,0.0
0.5,0.979,coverage_worst,1.0
0.5,0.979,mean_cosine,0.0
0.5,0.979,global_energy,1.0
0.5,0.979,coverage_mean,0.0
0.5,0.979,coverage_worst,1.0
0.5,0.979,mean_cosine,0.0
0.5,0.979,global_energy,0.0
0.5,0.979,coverage_mean,0.0
0.5,0.979,coverage_worst,0.0
0.5,0.979,mean_cosine,0.0
0.5,0.979,global_energy,0.0
0.5,0.979,coverage_mean,0.0
0.5,0.979,coverage_worst,0.0
0.5,0.979,mean_cosine,0.0
0.5,0.979,global_energy,0.0
0.5,0.979,coverage_mean,1.0
0.5,0.979,coverage_worst,1.0
0.5,0.979,mean_cosine,0.0
0.5,0.979,global_energy,0.0
0.5,0.979,coverage_mean,0.0
0.5,0.979,coverage_worst,1.0
0.75,0.884,mean_cosine,0.0
0.75,0.884,global_energy,0.0
0.75,0.884,coverage_mean,0.0
0.75,0.884,coverage_worst,1.0
0.75,0.884,mean_cosine,0.0
0.75,0.884,global_energy,0.0
0.75,0.884,coverage_mean,0.0
0.75,0.884,coverage_worst,1.0
0.75,0.884,mean_cosine,0.0
0.75,0.884,global_energy,1.0
0.75,0.884,coverage_mean,0.0
0.75,0.884,coverage_worst,0.0
0.75,0.884,mean_cosine,0.0
0.75,0.884,global_energy,1.0
0.75,0.884,coverage_mean,1.0
0.75,0.884,coverage_worst,1.0
0.75,0.884,mean_cosine,0.0
0.75,0.884,global_energy,1.0
0.75,0.884,coverage_mean,0.0
0.75,0.884,coverage_worst,1.0
0.75,0.884,mean_cosine,0.0
0.75,0.884,global_energy,0.0
0.75,0.884,coverage_mean,1.0
0.75,0.884,coverage_worst,1.0
0.75,0.884,mean_cosine,0.0
0.75,0.884,global_energy,1.0
0.75,0.884,coverage_mean,0.0
0.75,0.884,coverage_worst,1.0
0.75,0.884,mean_cosine,0.0
0.75,0.884,global_energy,1.0
0.75,0.884,coverage_mean,0.0
0.75,0.884,coverage_worst,1.0
0.75,0.884,mean_cosine,0.0
0.75,0.884,global_energy,0.0
0.75,0.884,coverage_mean,1.0
0.75,0.884,coverage_worst,1.0
0.75,0.884,mean_cosine,0.0
0.75,0.884,global_energy,0.0
0.75,0.884,coverage_mean,1.0
0.75,0.884,coverage_worst,1.0
0.75,0.884,mean_cosine,0.0
0.75,0.884,global_energy,1.0
0.75,0.884,coverage_mean,1.0
0.75,0.884,coverage_worst,1.0
0.75,0.884,mean_cosine,0.0
0.75,0.884,global_energy,0.0
0.75,0.884,coverage_mean,0.0
0.75,0.884,coverage_worst,0.0
0.75,0.884,mean_cosine,0.0
0.75,0.884,global_energy,1.0
0.75,0.884,coverage_mean,0.0
0.75,0.884,coverage_worst,1.0
0.75,0.884,mean_cosine,0.0
0.75,0.884,global_energy,0.0
0.75,0.884,coverage_mean,0.0
0.75,0.884,coverage_worst,1.0
0.75,0.884,mean_cosine,0.0
0.75,0.884,global_energy,0.0
0.75,0.884,coverage_mean,1.0
0.75,0.884,coverage_worst,1.0
0.75,0.884,mean_cosine,0.0
0.75,0.884,global_energy,1.0
0.75,0.884,coverage_mean,0.0
0.75,0.884,coverage_worst,1.0
0.75,0.884,mean_cosine,0.0
0.75,0.884,global_energy,0.0
0.75,0.884,coverage_mean,0.0
0.75,0.884,coverage_worst,1.0
0.75,0.884,mean_cosine,0.0
0.75,0.884,global_energy,0.0
0.75,0.884,coverage_mean,0.0
0.75,0.884,coverage_worst,1.0
0.75,0.884,mean_cosine,0.0
0.75,0.884,global_energy,1.0
0.75,0.884,coverage_mean,1.0
0.75,0.884,coverage_worst,1.0
0.75,0.884,mean_cosine,0.0
0.75,0.884,global_energy,0.0
0.75,0.884,coverage_mean,1.0
0.75,0.884,coverage_worst,1.0
1.0,0.401,mean_cosine,0.0
1.0,0.401,global_energy,1.0
1.0,0.401,coverage_mean,1.0
1.0,0.401,coverage_worst,1.0
1.0,0.401,mean_cosine,0.0
1.0,0.401,global_energy,1.0
1.0,0.401,coverage_mean,0.0
1.0,0.401,coverage_worst,1.0
1.0,0.401,mean_cosine,0.0
1.0,0.401,global_energy,1.0
1.0,0.401,coverage_mean,0.0
1.0,0.401,coverage_worst,1.0
1.0,0.401,mean_cosine,0.0
1.0,0.401,global_energy,1.0
1.0,0.401,coverage_mean,1.0
1.0,0.401,coverage_worst,1.0
1.0,0.401,mean_cosine,0.0
1.0,0.401,global_energy,1.0
1.0,0.401,coverage_mean,1.0
1.0,0.401,coverage_worst,1.0
1.0,0.401,mean_cosine,0.0
1.0,0.401,global_energy,1.0
1.0,0.401,coverage_mean,1.0
1.0,0.401,coverage_worst,1.0
1.0,0.401,mean_cosine,0.0
1.0,0.401,global_energy,1.0
1.0,0.401,coverage_mean,1.0
1.0,0.401,coverage_worst,1.0
1.0,0.401,mean_cosine,0.0
1.0,0.401,global_energy,1.0
1.0,0.401,coverage_mean,0.0
1.0,0.401,coverage_worst,1.0
1.0,0.401,mean_cosine,0.0
1.0,0.401,global_energy,1.0
1.0,0.401,coverage_mean,1.0
1.0,0.401,coverage_worst,1.0
1.0,0.401,mean_cosine,0.0
1.0,0.401,global_energy,0.0
1.0,0.401,coverage_mean,1.0
1.0,0.401,coverage_worst,1.0
1.0,0.401,mean_cosine,0.0
1.0,0.401,global_energy,1.0
1.0,0.401,coverage_mean,1.0
1.0,0.401,coverage_worst,1.0
1.0,0.401,mean_cosine,0.0
1.0,0.401,global_energy,0.0
1.0,0.401,coverage_mean,1.0
1.0,0.401,coverage_worst,1.0
1.0,0.401,mean_cosine,0.0
1.0,0.401,global_energy,1.0
1.0,0.401,coverage_mean,1.0
1.0,0.401,coverage_worst,1.0
1.0,0.401,mean_cosine,0.0
1.0,0.401,global_energy,1.0
1.0,0.401,coverage_mean,1.0
1.0,0.401,coverage_worst,1.0
1.0,0.401,mean_cosine,0.0
1.0,0.401,global_energy,1.0
1.0,0.401,coverage_mean,1.0
1.0,0.401,coverage_worst,1.0
1.0,0.401,mean_cosine,0.0
1.0,0.401,global_energy,1.0
1.0,0.401,coverage_mean,1.0
1.0,0.401,coverage_worst,1.0
1.0,0.401,mean_cosine,0.0
1.0,0.401,global_energy,1.0
1.0,0.401,coverage_mean,1.0
1.0,0.401,coverage_worst,1.0
1.0,0.401,mean_cosine,0.0
1.0,0.401,global_energy,1.0
1.0,0.401,coverage_mean,1.0
1.0,0.401,coverage_worst,1.0
1.0,0.401,mean_cosine,0.0
1.0,0.401,global_energy,1.0
1.0,0.401,coverage_mean,1.0
1.0,0.401,coverage_worst,1.0
1.0,0.401,mean_cosine,0.0
1.0,0.401,global_energy,1.0
1.0,0.401,coverage_mean,1.0
1.0,0.401,coverage_worst,1.0
1.5,-0.714,mean_cosine,0.0
1.5,-0.714,global_energy,1.0
1.5,-0.714,coverage_mean,1.0
1.5,-0.714,coverage_worst,1.0
1.5,-0.714,mean_cosine,0.0
1.5,-0.714,global_energy,1.0
1.5,-0.714,coverage_mean,1.0
1.5,-0.714,coverage_worst,1.0
1.5,-0.714,mean_cosine,0.0
1.5,-0.714,global_energy,1.0
1.5,-0.714,coverage_mean,1.0
1.5,-0.714,coverage_worst,1.0
1.5,-0.714,mean_cosine,0.0
1.5,-0.714,global_energy,1.0
1.5,-0.714,coverage_mean,1.0
1.5,-0.714,coverage_worst,1.0
1.5,-0.714,mean_cosine,0.0
1.5,-0.714,global_energy,1.0
1.5,-0.714,coverage_mean,1.0
1.5,-0.714,coverage_worst,1.0
1.5,-0.714,mean_cosine,0.0
1.5,-0.714,global_energy,1.0
1.5,-0.714,coverage_mean,1.0
1.5,-0.714,coverage_worst,1.0
1.5,-0.714,mean_cosine,0.0
1.5,-0.714,global_energy,1.0
1.5,-0.714,coverage_mean,1.0
1.5,-0.714,coverage_worst,1.0
1.5,-0.714,mean_cosine,0.0
1.5,-0.714,global_energy,1.0
1.5,-0.714,coverage_mean,1.0
1.5,-0.714,coverage_worst,1.0
1.5,-0.714,mean_cosine,0.0
1.5,-0.714,global_energy,1.0
1.5,-0.714,coverage_mean,1.0
1.5,-0.714,coverage_worst,1.0
1.5,-0.714,mean_cosine,0.0
1.5,-0.714,global_energy,1.0
1.5,-0.714,coverage_mean,1.0
1.5,-0.714,coverage_worst,1.0
1.5,-0.714,mean_cosine,0.0
1.5,-0.714,global_energy,1.0
1.5,-0.714,coverage_mean,1.0
1.5,-0.714,coverage_worst,1.0
1.5,-0.714,mean_cosine,0.0
1.5,-0.714,global_energy,1.0
1.5,-0.714,coverage_mean,1.0
1.5,-0.714,coverage_worst,1.0
1.5,-0.714,mean_cosine,0.0
1.5,-0.714,global_energy,1.0
1.5,-0.714,coverage_mean,1.0
1.5,-0.714,coverage_worst,1.0
1.5,-0.714,mean_cosine,0.0
1.5,-0.714,global_energy,1.0
1.5,-0.714,coverage_mean,1.0
1.5,-0.714,coverage_worst,1.0
1.5,-0.714,mean_cosine,0.0
1.5,-0.714,global_energy,1.0
1.5,-0.714,coverage_mean,1.0
1.5,-0.714,coverage_worst,1.0
1.5,-0.714,mean_cosine,0.0
1.5,-0.714,global_energy,1.0
1.5,-0.714,coverage_mean,1.0
1.5,-0.714,coverage_worst,1.0
1.5,-0.714,mean_cosine,0.0
1.5,-0.714,global_energy,1.0
1.5,-0.714,coverage_mean,1.0
1.5,-0.714,coverage_worst,1.0
1.5,-0.714,mean_cosine,0.0
1.5,-0.714,global_energy,1.0
1.5,-0.714,coverage_mean,1.0
1.5,-0.714,coverage_worst,1.0
1.5,-0.714,mean_cosine,0.0
1.5,-0.714,global_energy,1.0
1.5,-0.714,coverage_mean,1.0
1.5,-0.714,coverage_worst,1.0
1.5,-0.714,mean_cosine,0.0
1.5,-0.714,global_energy,1.0
1.5,-0.714,coverage_mean,1.0
1.5,-0.714,coverage_worst,1.0
