grid_id,seed,alpha,conflict_level,cells_per_subpop,information_condition,topk_disagreement,weighted_kendall_conflict,standard_kendall_conflict,response_cosine,welfare_type,oracle_flip_risk
a0.50_c0.00_n15_s0.3_L20_Iobserved,0,0.5,0.0,15,observed,0.5,0.11855670103092783,0.14736842105263154,0.958261348833523,mean,0
a0.50_c0.00_n15_s0.3_L20_Iobserved,0,0.5,0.0,15,observed,0.5,0.11855670103092783,0.14736842105263154,0.958261348833523,worst,0
a0.50_c0.00_n15_s0.3_L20_Iobserved,1,0.5,0.0,15,observed,0.25,0.13333333333333333,0.16842105263157892,0.8968644203760281,mean,0
a0.50_c0.00_n15_s0.3_L20_Iobserved,1,0.5,0.0,15,observed,0.25,0.13333333333333333,0.16842105263157892,0.8968644203760281,worst,0
a0.50_c0.00_n15_s0.3_L20_Iobserved,2,0.5,0.0,15,observed,0.0,0.08484848484848485,0.13684210526315788,0.9906381690965881,mean,0
a0.50_c0.00_n15_s0.3_L20_Iobserved,2,0.5,0.0,15,observed,0.0,0.08484848484848485,0.13684210526315788,0.9906381690965881,worst,0
a0.50_c0.00_n15_s0.3_L20_Iobserved,3,0.5,0.0,15,observed,0.0,0.07575757575757576,0.11052631578947364,0.9912995644486354,mean,0
a0.50_c0.00_n15_s0.3_L20_Iobserved,3,0.5,0.0,15,observed,0.0,0.07575757575757576,0.11052631578947364,0.9912995644486354,worst,0
a0.50_c0.00_n15_s0.3_L20_Iobserved,4,0.5,0.0,15,observed,0.75,0.15458937198067632,0.15789473684210525,0.9243219026514726,mean,0
a0.50_c0.00_n15_s0.3_L20_Iobserved,4,0.5,0.0,15,observed,0.75,0.15458937198067632,0.15789473684210525,0.9243219026514726,worst,0
a0.50_c0.00_n15_s0.3_L20_Iobserved,5,0.5,0.0,15,observed,0.75,0.22705314009661837,0.23157894736842105,0.9646664691369283,mean,0
a0.50_c0.00_n15_s0.3_L20_Iobserved,5,0.5,0.0,15,observed,0.75,0.22705314009661837,0.23157894736842105,0.9646664691369283,worst,0
a0.50_c0.00_n15_s0.3_L20_Iobserved,6,0.5,0.0,15,observed,0.5,0.211340206185567,0.19999999999999996,0.9459915611960755,mean,0
a0.50_c0.00_n15_s0.3_L20_Iobserved,6,0.5,0.0,15,observed,0.5,0.211340206185567,0.19999999999999996,0.9459915611960755,worst,0
a0.50_c0.00_n15_s0.3_L20_Iobserved,7,0.5,0.0,15,observed,0.5,0.13144329896907217,0.11052631578947364,0.989324525344551,mean,0
a0.50_c0.00_n15_s0.3_L20_Iobserved,7,0.5,0.0,15,observed,0.5,0.13144329896907217,0.11052631578947364,0.989324525344551,worst,0
a0.50_c0.00_n15_s0.3_L20_Iobserved,8,0.5,0.0,15,observed,0.75,0.17391304347826086,0.16842105263157892,0.9656245588261764,mean,0
a0.50_c0.00_n15_s0.3_L20_Iobserved,8,0.5,0.0,15,observed,0.75,0.17391304347826086,0.16842105263157892,0.9656245588261764,worst,0
a0.50_c0.00_n15_s0.3_L20_Iobserved,9,0.5,0.0,15,observed,0.5,0.14175257731958762,0.14210526315789473,0.9758866554595564,mean,0
a0.50_c0.00_n15_s0.3_L20_Iobserved,9,0.5,0.0,15,observed,0.5,0.14175257731958762,0.14210526315789473,0.9758866554595564,worst,0
a0.50_c0.00_n15_s0.3_L20_Iobserved,10,0.5,0.0,15,observed,0.5,0.14948453608247422,0.14736842105263154,0.9439174529210217,mean,0
a0.50_c0.00_n15_s0.3_L20_Iobserved,10,0.5,0.0,15,observed,0.5,0.14948453608247422,0.14736842105263154,0.9439174529210217,worst,0
a0.50_c0.00_n15_s0.3_L20_Iobserved,11,0.5,0.0,15,observed,0.25,0.16111111111111112,0.1894736842105263,0.9807064569111602,mean,0
a0.50_c0.00_n15_s0.3_L20_Iobserved,11,0.5,0.0,15,observed,0.25,0.16111111111111112,0.1894736842105263,0.9807064569111602,worst,0
a0.50_c0.00_n15_s0.3_L20_Iobserved,12,0.5,0.0,15,observed,0.25,0.11944444444444445,0.14210526315789473,0.9868851999026168,mean,0
a0.50_c0.00_n15_s0.3_L20_Iobserved,12,0.5,0.0,15,observed,0.25,0.11944444444444445,0.14210526315789473,0.9868851999026168,worst,0
a0.50_c0.00_n15_s0.3_L20_Iobserved,13,0.5,0.0,15,observed,0.5,0.2268041237113402,0.21052631578947367,0.9306649758485772,mean,0
a0.50_c0.00_n15_s0.3_L20_Iobserved,13,0.5,0.0,15,observed,0.5,0.2268041237113402,0.21052631578947367,0.9306649758485772,worst,0
a0.50_c0.00_n15_s0.3_L20_Iobserved,14,0.5,0.0,15,observed,0.25,0.10555555555555556,0.10526315789473678,0.9116348962015176,mean,0
a0.50_c0.00_n15_s0.3_L20_Iobserved,14,0.5,0.0,15,observed,0.25,0.10555555555555556,0.10526315789473678,0.9116348962015176,worst,0
